Importer,Exporter,total
RU,IT,5
RU,IT,1
RU,IT,68
SA,IT,6
SG,CN,1
SG,CN,1
SG,FR,1
SG,FR,10
SG,HK,56740
SG,HK,74
SG,HK,2
SG,MY,436
SG,RO,2
SG,TH,32000
SG,TH,1
SG,TH,4300
SG,VN,300
SG,VN,3420
SG,XX,120
TH,AE,8
TH,FR,1
TH,HK,16889.07
TH,JP,92
TH,JP,410
TH,KH,40000
TH,KH,5700
TH,SG,41
TH,SG,654
TH,SG,6544
TM,FR,3
TR,FR,3
TR,FR,3
TR,FR,24
TR,FR,400
TR,FR,32
TR,FR,26
TR,FR,8
TR,IT,8
TR,SG,6
TW,IT,1
TW,IT,9
TW,SG,10
TW,SG,13
UA,IT,52
US,HK,600
US,HK,600
US,IT,4
US,IT,2
US,KH,2
US,KH,8
US,KH,65
US,KH,3
US,RO,2
US,TH,1
US,TH,2
US,TH,1
US,TH,1
US,TH,1
US,TR,2
US,TR,3
US,VN,1
US,VN,2
UZ,FR,1
UZ,IT,3
VN,JP,540
XX,IT,10
XX,IT,1
XX,IT,7
XX,IT,3
ID,SK,4
US,CD,1
US,NG,1
BD,MY,6
GB,MY,6
US,MY,4
GB,US,2
US,HK,2
US,KH,3974.4
CN,SG,2
CN,SG,4
CN,SG,4
CN,GB,1
US,CA,51
US,KN,6
US,NI,1
FR,AU,1.2
FR,FR,2.9
AE,DK,1
AE,FR,3
AE,GB,1
AR,CU,106.5
AT,CH,1
AT,HU,1
AT,JP,1
AT,KR,2
AT,LI,1
AT,LI,1
AU,GB,1
AU,GB,13
AU,GB,154
AU,IE,2
AU,JP,1
BE,CH,2
CA,FR,1
CA,GB,7
CA,IE,19
CH,AT,1
CH,BE,3.05
CH,DE,5
CH,DE,2
CH,DE,1
CH,DK,52
CH,FR,50
CH,FR,5
CH,GB,1
CH,GB,1
CH,IT,2
CH,PL,156
CH,US,1
CL,ES,2
CL,GB,1
CL,HU,1
CL,HU,1
CN,DE,8
CN,DK,0.7
CN,DK,1
CN,ES,1
CN,FR,1
CN,FR,2
CN,FR,8
CN,GB,22
CN,HU,2
CN,IE,1
CN,IT,1
CN,IT,4
CN,PH,32
CN,PH,1
CN,PL,50
CN,PT,19
CN,US,1
CN,ZA,5
CO,ES,1
CU,ES,1
CU,ES,8
CU,ES,18.194
CZ,CH,1
CZ,US,5
DE,CA,1
DE,CH,14
DE,CH,3
DE,CH,8
DE,NO,74
DE,NO,2
DE,US,1
ES,CU,81.7
ES,CU,1
FR,CH,1
FR,CH,131.33
FR,CH,2
FR,CN,7
FR,FR,15
FR,HK,6
FR,US,3
GB,BS,4
GB,CA,112
GB,CA,34
GB,CH,1
GB,CH,22
GB,CN,3
GB,JP,74
GB,NZ,60
GB,SG,1
GB,ZA,1
GG,GB,1
HK,AT,1
HK,AT,1
HK,BE,11.24
HK,BE,33
HK,CH,1
HK,CH,2
HK,DK,3
HK,ES,6.7
HK,ES,5
HK,ES,74
HK,FR,3
HK,FR,17
HK,GB,24
HK,IE,1
HK,PT,1
