Year,App.,Class,Order,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source
2016,I,,Caryophyllales,IN,US,,20,seeds,T,D
2016,I,,Caryophyllales,JP,US,,80,seeds,T,D
2016,I,,Caryophyllales,KR,US,,109,live,T,D
2016,I,,Caryophyllales,US,CZ,,1,live,T,D
2016,I,,Caryophyllales,US,HU,5,,live,T,I
2016,I,,Caryophyllales,US,MT,,600,seeds,T,D
2016,I,,Caryophyllales,US,MX,21,,live,T,I
2016,I,,Caryophyllales,BE,US,,15,seeds,T,D
2016,I,,Caryophyllales,CH,US,,10,seeds,T,D
2016,I,,Caryophyllales,JP,US,,5,seeds,T,D
2016,I,,Caryophyllales,RO,US,,10,seeds,T,D
